epoch,loss,reward,timestamp
1,0.191471,172.65,2026-02-08T01:04:07.183967
2,0.155525,350.00,2026-02-08T01:04:09.446198
3,0.145143,384.69,2026-02-08T01:04:12.371855
4,0.139609,300.58,2026-02-08T01:04:15.490287
5,0.135907,193.95,2026-02-08T01:04:18.389239
6,0.132776,315.55,2026-02-08T01:04:21.236803
7,0.130388,180.98,2026-02-08T01:04:24.247064
8,0.128415,358.68,2026-02-08T01:04:26.605280
9,0.127171,343.63,2026-02-08T01:04:28.982800
10,0.125299,178.54,2026-02-08T01:04:31.919475
11,0.124842,178.24,2026-02-08T01:04:34.898794
12,0.123092,180.87,2026-02-08T01:04:37.807102
13,0.122473,374.73,2026-02-08T01:04:40.789818
14,0.120703,247.52,2026-02-08T01:04:43.717845
15,0.120309,176.43,2026-02-08T01:04:45.989798
16,0.120189,178.57,2026-02-08T01:04:47.993946
17,0.118729,222.74,2026-02-08T01:04:50.896669
18,0.118280,377.30,2026-02-08T01:04:53.817142
19,0.117519,294.15,2026-02-08T01:04:56.835780
20,0.116853,199.09,2026-02-08T01:04:59.810073
21,0.116710,191.15,2026-02-08T01:05:02.715651
22,0.116278,326.83,2026-02-08T01:05:05.435801
23,0.115408,183.79,2026-02-08T01:05:07.439193
24,0.114846,646.66,2026-02-08T01:05:10.023167
25,0.115055,203.75,2026-02-08T01:05:13.147698
26,0.114276,178.61,2026-02-08T01:05:16.005892
27,0.113766,222.09,2026-02-08T01:05:18.815264
28,0.113534,199.35,2026-02-08T01:05:21.702636
29,0.113432,345.21,2026-02-08T01:05:24.617710
30,0.112711,667.06,2026-02-08T01:05:26.829659
31,0.112236,177.60,2026-02-08T01:05:28.946930
32,0.112195,179.46,2026-02-08T01:05:31.763146
33,0.111285,179.56,2026-02-08T01:05:34.586173
34,0.111378,356.26,2026-02-08T01:05:37.644086
35,0.111381,191.64,2026-02-08T01:05:40.500111
36,0.110665,248.42,2026-02-08T01:05:43.358451
37,0.110321,370.81,2026-02-08T01:05:46.028259
38,0.110727,606.91,2026-02-08T01:05:48.120174
39,0.109655,598.28,2026-02-08T01:05:50.794853
40,0.109614,370.69,2026-02-08T01:05:53.757476
41,0.109204,417.39,2026-02-08T01:05:56.750487
42,0.109062,495.39,2026-02-08T01:05:59.916114
43,0.109118,207.18,2026-02-08T01:06:02.936987
44,0.108882,193.89,2026-02-08T01:06:05.658810
45,0.108521,187.63,2026-02-08T01:06:07.663394
46,0.108218,182.01,2026-02-08T01:06:10.236651
47,0.108183,215.68,2026-02-08T01:06:13.208063
48,0.108111,492.53,2026-02-08T01:06:16.185489
49,0.107376,187.97,2026-02-08T01:06:19.215758
50,0.107520,185.31,2026-02-08T01:06:22.157365
51,0.107648,180.78,2026-02-08T01:06:24.928192
52,0.107224,434.31,2026-02-08T01:06:27.144199
53,0.106613,193.24,2026-02-08T01:06:29.223479
54,0.106349,347.01,2026-02-08T01:06:32.210447
55,0.107126,195.17,2026-02-08T01:06:35.051848
56,0.106258,596.91,2026-02-08T01:06:38.030750
57,0.106173,179.67,2026-02-08T01:06:40.920488
58,0.106253,230.91,2026-02-08T01:06:43.843600
59,0.105785,202.92,2026-02-08T01:06:46.422292
60,0.105453,635.08,2026-02-08T01:06:48.495390
61,0.105362,922.16,2026-02-08T01:06:51.489405
62,0.105394,184.23,2026-02-08T01:06:54.474127
63,0.105594,189.73,2026-02-08T01:06:57.445940
64,0.105592,533.61,2026-02-08T01:07:00.302494
65,0.105409,366.20,2026-02-08T01:07:03.350160
66,0.104616,905.85,2026-02-08T01:07:06.125314
67,0.104760,209.87,2026-02-08T01:07:08.168953
68,0.104672,401.64,2026-02-08T01:07:10.680816
69,0.104385,676.80,2026-02-08T01:07:13.665627
70,0.104388,513.13,2026-02-08T01:07:16.721557
71,0.103977,549.70,2026-02-08T01:07:19.586380
72,0.103842,362.83,2026-02-08T01:07:22.607295
73,0.104271,193.38,2026-02-08T01:07:25.433261
74,0.103693,338.24,2026-02-08T01:07:27.632919
75,0.103496,200.36,2026-02-08T01:07:29.718011
76,0.103566,339.52,2026-02-08T01:07:32.603911
77,0.103572,1006.57,2026-02-08T01:07:35.749358
78,0.103139,437.83,2026-02-08T01:07:38.673651
79,0.103106,399.40,2026-02-08T01:07:41.613980
80,0.103071,214.16,2026-02-08T01:07:44.519376
81,0.102659,272.15,2026-02-08T01:07:47.067308
82,0.102458,184.34,2026-02-08T01:07:49.038591
83,0.102516,179.89,2026-02-08T01:07:51.666195
84,0.102407,180.77,2026-02-08T01:07:54.644996
85,0.102395,291.43,2026-02-08T01:07:57.524971
86,0.102415,646.46,2026-02-08T01:08:00.601615
87,0.102061,199.65,2026-02-08T01:08:03.560722
88,0.101946,325.81,2026-02-08T01:08:06.367703
89,0.102275,193.13,2026-02-08T01:08:08.340258
90,0.102151,190.95,2026-02-08T01:08:10.710293
91,0.101865,257.69,2026-02-08T01:08:13.500418
92,0.101811,248.02,2026-02-08T01:08:16.371617
93,0.101647,368.56,2026-02-08T01:08:19.217375
94,0.101487,260.87,2026-02-08T01:08:22.135731
95,0.101600,466.97,2026-02-08T01:08:25.009668
96,0.101377,353.35,2026-02-08T01:08:27.466334
97,0.101193,373.70,2026-02-08T01:08:29.542157
98,0.101387,661.75,2026-02-08T01:08:32.572542
99,0.101217,372.61,2026-02-08T01:08:35.639003
100,0.100664,307.04,2026-02-08T01:08:38.497993
101,0.100936,277.44,2026-02-08T01:08:41.484723
102,0.100947,445.36,2026-02-08T01:08:44.444914
103,0.100564,300.43,2026-02-08T01:08:47.264679
104,0.100642,318.28,2026-02-08T01:08:49.461246
105,0.100227,304.22,2026-02-08T01:08:52.264386
106,0.100498,378.66,2026-02-08T01:08:55.186379
107,0.100386,218.17,2026-02-08T01:08:58.173013
108,0.100262,741.26,2026-02-08T01:09:01.369927
109,0.100310,250.02,2026-02-08T01:09:04.400703
110,0.099779,197.22,2026-02-08T01:09:06.898011
111,0.099911,271.11,2026-02-08T01:09:08.891356
112,0.099750,324.68,2026-02-08T01:09:11.617626
113,0.099973,252.22,2026-02-08T01:09:14.447069
114,0.099599,399.63,2026-02-08T01:09:17.314043
115,0.099749,362.12,2026-02-08T01:09:20.235385
116,0.099624,388.94,2026-02-08T01:09:23.298992
117,0.099520,398.58,2026-02-08T01:09:26.218341
118,0.099540,199.91,2026-02-08T01:09:28.190323
119,0.099247,383.22,2026-02-08T01:09:30.509475
120,0.099311,524.68,2026-02-08T01:09:33.732887
121,0.099552,261.45,2026-02-08T01:09:36.558064
122,0.099129,299.85,2026-02-08T01:09:39.585695
123,0.098714,302.62,2026-02-08T01:09:42.473676
124,0.098689,250.92,2026-02-08T01:09:45.486519
125,0.098632,183.54,2026-02-08T01:09:48.194626
126,0.099334,435.92,2026-02-08T01:09:50.930019
127,0.098783,241.66,2026-02-08T01:09:53.998150
128,0.098898,305.53,2026-02-08T01:09:56.966917
129,0.098938,299.51,2026-02-08T01:09:59.966612
130,0.098606,371.43,2026-02-08T01:10:02.841987
131,0.098456,264.77,2026-02-08T01:10:05.117251
132,0.098296,178.32,2026-02-08T01:10:08.054949
133,0.098673,182.99,2026-02-08T01:10:10.811243
134,0.098500,522.03,2026-02-08T01:10:13.826342
135,0.098071,199.61,2026-02-08T01:10:16.666580
136,0.098013,341.94,2026-02-08T01:10:19.695541
137,0.097949,212.42,2026-02-08T01:10:22.281838
138,0.097949,199.49,2026-02-08T01:10:24.250545
139,0.097951,484.04,2026-02-08T01:10:26.905207
140,0.097762,562.01,2026-02-08T01:10:29.767283
141,0.097880,411.83,2026-02-08T01:10:32.716995
142,0.097500,210.64,2026-02-08T01:10:35.563355
143,0.097705,439.78,2026-02-08T01:10:38.529018
144,0.097326,447.66,2026-02-08T01:10:41.535264
145,0.097179,296.22,2026-02-08T01:10:43.606999
146,0.097470,322.40,2026-02-08T01:10:45.795528
147,0.097472,277.04,2026-02-08T01:10:48.590232
148,0.097488,315.22,2026-02-08T01:10:51.523704
149,0.097146,254.12,2026-02-08T01:10:54.450755
150,0.096983,265.61,2026-02-08T01:10:57.389337
151,0.097376,237.30,2026-02-08T01:11:00.415541
152,0.097228,636.30,2026-02-08T01:11:03.027219
153,0.097214,335.24,2026-02-08T01:11:05.613216
154,0.097028,232.03,2026-02-08T01:11:08.450080
155,0.097294,200.43,2026-02-08T01:11:11.406138
156,0.097080,263.41,2026-02-08T01:11:14.370133
157,0.097197,299.87,2026-02-08T01:11:17.259842
158,0.096913,188.82,2026-02-08T01:11:20.075042
159,0.097122,547.59,2026-02-08T01:11:22.349275
160,0.096616,191.10,2026-02-08T01:11:24.961738
161,0.096388,254.75,2026-02-08T01:11:27.879226
162,0.096457,293.77,2026-02-08T01:11:30.814352
163,0.096796,581.89,2026-02-08T01:11:33.810868
164,0.096590,211.44,2026-02-08T01:11:36.758602
165,0.096397,428.37,2026-02-08T01:11:39.638468
166,0.096156,222.69,2026-02-08T01:11:41.717654
167,0.095979,191.72,2026-02-08T01:11:43.844767
