episode,reward,timestamp
1,979.57,2026-02-07T15:02:00.602805
2,975.52,2026-02-07T15:02:00.602813
3,965.60,2026-02-07T15:02:00.602816
4,1009.67,2026-02-07T15:02:00.602819
5,992.46,2026-02-07T15:02:00.602821
6,991.77,2026-02-07T15:02:00.602823
7,959.41,2026-02-07T15:02:00.602825
8,956.19,2026-02-07T15:02:00.602827
9,992.71,2026-02-07T15:02:00.602829
10,967.99,2026-02-07T15:02:00.602832
average,979.09,2026-02-07T15:02:00.602834
std,16.40,2026-02-07T15:02:00.602837
