metric,value,timestamp
env_name,halfcheetah-medium-v0,2026-02-08T07:49:19.628791
exp_name,bc-halfcheetah-medium-run1,2026-02-08T07:49:19.628799
seed,42,2026-02-08T07:49:19.628802
n_epochs,1000,2026-02-08T07:49:19.628804
final_loss,0.023358,2026-02-08T07:49:19.628809
avg_reward,4349.99,2026-02-08T07:49:19.628813
std_reward,131.00,2026-02-08T07:49:19.628815
n_episodes,10,2026-02-08T07:49:19.628817
