metric,value,timestamp
env_name,halfcheetah-medium-replay-v0,2026-02-09T04:34:43.816138
exp_name,bc-halfcheetah-medrep-run3,2026-02-09T04:34:43.816144
seed,44,2026-02-09T04:34:43.816147
n_epochs,1000,2026-02-09T04:34:43.816149
final_loss,0.101382,2026-02-09T04:34:43.816152
avg_reward,3889.99,2026-02-09T04:34:43.816156
std_reward,969.92,2026-02-09T04:34:43.816165
n_episodes,10,2026-02-09T04:34:43.816168
