episode,reward,timestamp
1,184.68,2026-02-10T00:20:13.785110
2,-3.18,2026-02-10T00:20:13.785118
3,172.92,2026-02-10T00:20:13.785121
4,-3.75,2026-02-10T00:20:13.785123
5,-3.17,2026-02-10T00:20:13.785125
6,2.51,2026-02-10T00:20:13.785128
7,-3.08,2026-02-10T00:20:13.785130
8,241.38,2026-02-10T00:20:13.785132
9,0.69,2026-02-10T00:20:13.785134
10,3299.12,2026-02-10T00:20:13.785137
average,388.81,2026-02-10T00:20:13.785140
std,974.41,2026-02-10T00:20:13.785142
