metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-10T21:19:39.265804
exp_name,bc-halfcheetah-medexp-quarter-run1,2026-02-10T21:19:39.265810
seed,42,2026-02-10T21:19:39.265813
n_epochs,1000,2026-02-10T21:19:39.265815
data_ratio,0.25,2026-02-10T21:19:39.265818
n_transitions,500000,2026-02-10T21:19:39.265822
final_loss,0.036969,2026-02-10T21:19:39.265825
avg_reward,6966.64,2026-02-10T21:19:39.265829
std_reward,4307.37,2026-02-10T21:19:39.265831
n_episodes,10,2026-02-10T21:19:39.265833
