metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-13T00:57:02.476796
exp_name,bc-halfcheetah-medexp-50k-run2,2026-02-13T00:57:02.476802
seed,43,2026-02-13T00:57:02.476805
n_epochs,1000,2026-02-13T00:57:02.476807
data_ratio,1.0,2026-02-13T00:57:02.476809
n_transitions,50000,2026-02-13T00:57:02.476812
final_loss,0.031770,2026-02-13T00:57:02.476816
avg_reward,4199.17,2026-02-13T00:57:02.476819
std_reward,209.91,2026-02-13T00:57:02.476822
n_episodes,10,2026-02-13T00:57:02.476824
