metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-13T01:29:44.164178
exp_name,bc-halfcheetah-medexp-12k-run1,2026-02-13T01:29:44.164185
seed,42,2026-02-13T01:29:44.164187
n_epochs,1000,2026-02-13T01:29:44.164190
data_ratio,1.0,2026-02-13T01:29:44.164192
n_transitions,12500,2026-02-13T01:29:44.164196
final_loss,0.028461,2026-02-13T01:29:44.164199
avg_reward,2068.14,2026-02-13T01:29:44.164202
std_reward,1518.08,2026-02-13T01:29:44.164205
n_episodes,10,2026-02-13T01:29:44.164207
