metric,value,timestamp
env_name,hopper-medium-v0,2026-04-14T07:53:09.830718
exp_name,bc-hopper-medium-seed666,2026-04-14T07:53:09.830723
seed,666,2026-04-14T07:53:09.830726
n_epochs,1000,2026-04-14T07:53:09.830728
data_ratio,1.0,2026-04-14T07:53:09.830731
n_transitions,1000000,2026-04-14T07:53:09.830734
final_loss,0.047760,2026-04-14T07:53:09.830737
avg_reward,922.51,2026-04-14T07:53:09.830741
std_reward,4.55,2026-04-14T07:53:09.830743
n_episodes,10,2026-04-14T07:53:09.830745
