metric,value,timestamp
env_name,walker2d-medium-expert-v0,2026-04-14T03:19:24.885221
exp_name,bc-walker2d-medexp-seed666,2026-04-14T03:19:24.885233
seed,666,2026-04-14T03:19:24.885236
n_epochs,1000,2026-04-14T03:19:24.885239
data_ratio,1.0,2026-04-14T03:19:24.885241
n_transitions,2000000,2026-04-14T03:19:24.885246
final_loss,0.069435,2026-04-14T03:19:24.885252
avg_reward,139.32,2026-04-14T03:19:24.885256
std_reward,75.69,2026-04-14T03:19:24.885259
n_episodes,10,2026-04-14T03:19:24.885261
