metric,value,timestamp
env_name,walker2d-medium-replay-v0,2026-04-14T03:36:41.047335
exp_name,bc-walker2d-medrep-seed333,2026-04-14T03:36:41.047341
seed,333,2026-04-14T03:36:41.047344
n_epochs,1000,2026-04-14T03:36:41.047346
data_ratio,1.0,2026-04-14T03:36:41.047349
n_transitions,100930,2026-04-14T03:36:41.047352
final_loss,0.132296,2026-04-14T03:36:41.047355
avg_reward,323.56,2026-04-14T03:36:41.047358
std_reward,149.62,2026-04-14T03:36:41.047361
n_episodes,10,2026-04-14T03:36:41.047363
