metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-12T23:14:58.329914
exp_name,bc-hopper-medexp-50k-run1,2026-02-12T23:14:58.329921
seed,42,2026-02-12T23:14:58.329924
n_epochs,1000,2026-02-12T23:14:58.329926
data_ratio,1.0,2026-02-12T23:14:58.329928
n_transitions,50000,2026-02-12T23:14:58.329931
final_loss,0.064397,2026-02-12T23:14:58.329934
avg_reward,2378.13,2026-02-12T23:14:58.329937
std_reward,1188.00,2026-02-12T23:14:58.329940
n_episodes,10,2026-02-12T23:14:58.329942
