metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-12T23:44:38.452423
exp_name,bc-hopper-medexp-25k-run2,2026-02-12T23:44:38.452429
seed,43,2026-02-12T23:44:38.452431
n_epochs,1000,2026-02-12T23:44:38.452434
data_ratio,1.0,2026-02-12T23:44:38.452436
n_transitions,25000,2026-02-12T23:44:38.452439
final_loss,0.066018,2026-02-12T23:44:38.452442
avg_reward,956.99,2026-02-12T23:44:38.452446
std_reward,1353.68,2026-02-12T23:44:38.452449
n_episodes,10,2026-02-12T23:44:38.452451
