metric,value,timestamp
env_name,hopper-medium-replay-v0,2026-04-14T19:24:09.267176
exp_name,bc-hopper-medrep-seed333,2026-04-14T19:24:09.267183
seed,333,2026-04-14T19:24:09.267185
n_epochs,1000,2026-04-14T19:24:09.267188
data_ratio,1.0,2026-04-14T19:24:09.267190
n_transitions,200919,2026-04-14T19:24:09.267193
final_loss,0.083180,2026-04-14T19:24:09.267198
avg_reward,711.38,2026-04-14T19:24:09.267203
std_reward,403.06,2026-04-14T19:24:09.267205
n_episodes,10,2026-04-14T19:24:09.267207
