episode,reward,timestamp
1,918.06,2026-04-14T07:53:09.829069
2,928.55,2026-04-14T07:53:09.829077
3,919.72,2026-04-14T07:53:09.829079
4,916.42,2026-04-14T07:53:09.829082
5,926.13,2026-04-14T07:53:09.829084
6,925.21,2026-04-14T07:53:09.829086
7,926.95,2026-04-14T07:53:09.829088
8,917.96,2026-04-14T07:53:09.829091
9,918.32,2026-04-14T07:53:09.829093
10,927.77,2026-04-14T07:53:09.829095
average,922.51,2026-04-14T07:53:09.829098
std,4.55,2026-04-14T07:53:09.829100
