metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-04-14T18:16:40.750753
exp_name,bc-hopper-medexp-seed666,2026-04-14T18:16:40.750762
seed,666,2026-04-14T18:16:40.750764
n_epochs,1000,2026-04-14T18:16:40.750767
data_ratio,1.0,2026-04-14T18:16:40.750769
n_transitions,1200919,2026-04-14T18:16:40.750774
final_loss,0.065625,2026-04-14T18:16:40.750780
avg_reward,237.49,2026-04-14T18:16:40.750785
std_reward,54.12,2026-04-14T18:16:40.750787
n_episodes,10,2026-04-14T18:16:40.750790
