episode,reward,timestamp
1,5.50,2026-02-10T00:17:55.700087
2,166.23,2026-02-10T00:17:55.700095
3,24.52,2026-02-10T00:17:55.700098
4,141.99,2026-02-10T00:17:55.700100
5,1632.92,2026-02-10T00:17:55.700103
6,141.38,2026-02-10T00:17:55.700105
7,24.17,2026-02-10T00:17:55.700107
8,213.88,2026-02-10T00:17:55.700110
9,140.08,2026-02-10T00:17:55.700112
10,27.32,2026-02-10T00:17:55.700114
average,251.80,2026-02-10T00:17:55.700116
std,465.57,2026-02-10T00:17:55.700118
