metric,value,timestamp
env_name,halfcheetah-medium-replay-v0,2026-04-15T13:56:11.613017
exp_name,bc-halfcheetah-medrep-seed333,2026-04-15T13:56:11.613023
seed,333,2026-04-15T13:56:11.613026
n_epochs,1000,2026-04-15T13:56:11.613028
data_ratio,1.0,2026-04-15T13:56:11.613030
n_transitions,101000,2026-04-15T13:56:11.613034
final_loss,0.102605,2026-04-15T13:56:11.613037
avg_reward,4216.41,2026-04-15T13:56:11.613040
std_reward,167.71,2026-04-15T13:56:11.613043
n_episodes,10,2026-04-15T13:56:11.613045
