metric,value,timestamp
env_name,walker2d-medium-expert-v0,2026-02-10T00:20:13.787549
exp_name,bc-walker2d-medexp-quarter-run2,2026-02-10T00:20:13.787556
seed,43,2026-02-10T00:20:13.787559
n_epochs,1000,2026-02-10T00:20:13.787561
data_ratio,0.25,2026-02-10T00:20:13.787564
n_transitions,500000,2026-02-10T00:20:13.787568
final_loss,0.068028,2026-02-10T00:20:13.787572
avg_reward,388.81,2026-02-10T00:20:13.787575
std_reward,974.41,2026-02-10T00:20:13.787578
n_episodes,10,2026-02-10T00:20:13.787580
