epoch,loss,reward,timestamp
1,0.254248,1407.66,2026-02-12T23:59:54.822626
2,0.160690,2154.22,2026-02-12T23:59:57.745644
3,0.143789,2653.70,2026-02-13T00:00:00.125389
4,0.134514,2022.18,2026-02-13T00:00:01.947854
5,0.129209,1829.13,2026-02-13T00:00:04.262223
6,0.124583,1302.88,2026-02-13T00:00:06.141593
7,0.120971,-4.81,2026-02-13T00:00:07.937667
8,0.117862,-4.01,2026-02-13T00:00:09.674854
9,0.114735,-4.12,2026-02-13T00:00:12.100814
10,0.112155,-2.21,2026-02-13T00:00:15.103603
11,0.110079,1079.06,2026-02-13T00:00:18.333499
12,0.108024,2225.77,2026-02-13T00:00:21.539874
13,0.105472,2427.92,2026-02-13T00:00:24.796978
14,0.103814,179.30,2026-02-13T00:00:28.758938
15,0.101782,-7.02,2026-02-13T00:00:32.722589
16,0.100081,1832.03,2026-02-13T00:00:37.229915
17,0.098241,1562.81,2026-02-13T00:00:41.331943
18,0.097210,3178.94,2026-02-13T00:00:45.971793
19,0.095842,2360.36,2026-02-13T00:00:50.790012
20,0.094374,1772.47,2026-02-13T00:00:55.785911
21,0.092447,2050.03,2026-02-13T00:01:00.116431
22,0.091972,2941.27,2026-02-13T00:01:05.270826
23,0.090852,1132.24,2026-02-13T00:01:06.563883
24,0.089549,2529.80,2026-02-13T00:01:07.840143
25,0.088894,2537.12,2026-02-13T00:01:09.137345
26,0.087609,2856.10,2026-02-13T00:01:10.430738
27,0.086822,3087.97,2026-02-13T00:01:11.724438
28,0.085578,3031.10,2026-02-13T00:01:16.232191
29,0.085164,2252.06,2026-02-13T00:01:20.305302
30,0.084326,3348.94,2026-02-13T00:01:24.914282
31,0.083376,2821.84,2026-02-13T00:01:30.398981
32,0.082210,1712.34,2026-02-13T00:01:35.305908
33,0.080992,3703.56,2026-02-13T00:01:40.539240
34,0.080600,2074.03,2026-02-13T00:01:45.538161
35,0.079550,3127.04,2026-02-13T00:01:50.707002
36,0.079153,2431.41,2026-02-13T00:01:56.263275
37,0.078487,2511.54,2026-02-13T00:02:02.226696
38,0.077990,2944.29,2026-02-13T00:02:07.702817
39,0.077559,3691.18,2026-02-13T00:02:12.142391
40,0.076763,3325.71,2026-02-13T00:02:17.555448
41,0.075841,2833.43,2026-02-13T00:02:22.226387
42,0.074994,3893.67,2026-02-13T00:02:26.902778
43,0.075039,2524.20,2026-02-13T00:02:31.669129
44,0.074262,4011.87,2026-02-13T00:02:36.628020
45,0.074674,3827.25,2026-02-13T00:02:41.924056
46,0.073537,3512.92,2026-02-13T00:02:46.791693
47,0.072614,4006.22,2026-02-13T00:02:52.072449
48,0.072344,4086.03,2026-02-13T00:02:57.487505
49,0.071087,3255.08,2026-02-13T00:03:02.976392
50,0.070928,3016.15,2026-02-13T00:03:08.110526
51,0.070934,3367.93,2026-02-13T00:03:14.070380
52,0.070127,4044.43,2026-02-13T00:03:19.978088
53,0.069772,3238.29,2026-02-13T00:03:25.596451
54,0.069109,2523.49,2026-02-13T00:03:31.212446
55,0.068820,2880.94,2026-02-13T00:03:36.428299
56,0.068608,4048.63,2026-02-13T00:03:41.642393
57,0.068026,3088.48,2026-02-13T00:03:46.861567
58,0.067961,4010.84,2026-02-13T00:03:52.215498
59,0.067056,4124.31,2026-02-13T00:03:57.431653
60,0.066292,4172.54,2026-02-13T00:04:02.795342
61,0.066470,4264.05,2026-02-13T00:04:07.475747
62,0.066209,4014.16,2026-02-13T00:04:11.629402
63,0.065686,3319.74,2026-02-13T00:04:16.507939
64,0.065689,4065.20,2026-02-13T00:04:21.239621
65,0.064997,3988.28,2026-02-13T00:04:25.816170
66,0.064502,4072.10,2026-02-13T00:04:30.935687
67,0.064260,3663.94,2026-02-13T00:04:35.899370
68,0.064052,4188.44,2026-02-13T00:04:40.559273
69,0.063615,4122.43,2026-02-13T00:04:44.600806
70,0.063801,3308.24,2026-02-13T00:04:49.522199
71,0.063114,3967.67,2026-02-13T00:04:54.016643
72,0.062943,4165.32,2026-02-13T00:04:58.735605
73,0.062589,4207.73,2026-02-13T00:05:02.530788
74,0.062290,2491.45,2026-02-13T00:05:06.765815
75,0.062430,4218.69,2026-02-13T00:05:10.835264
76,0.062070,4024.81,2026-02-13T00:05:15.130473
77,0.061598,4117.68,2026-02-13T00:05:19.551680
78,0.061735,4137.00,2026-02-13T00:05:23.621505
79,0.061027,4170.61,2026-02-13T00:05:27.985997
80,0.060842,3992.62,2026-02-13T00:05:31.042109
81,0.060202,4149.28,2026-02-13T00:05:34.701845
82,0.060311,4160.19,2026-02-13T00:05:37.912937
83,0.059754,3823.85,2026-02-13T00:05:39.973336
84,0.059684,4124.08,2026-02-13T00:05:41.217621
85,0.059732,4266.91,2026-02-13T00:05:42.423395
86,0.059040,3992.45,2026-02-13T00:05:43.598329
87,0.059054,3933.40,2026-02-13T00:05:44.775390
88,0.058973,4137.97,2026-02-13T00:05:45.963421
89,0.059060,4211.88,2026-02-13T00:05:49.753518
90,0.058960,3981.76,2026-02-13T00:05:53.788166
91,0.058468,4205.22,2026-02-13T00:05:56.828526
92,0.058128,4171.52,2026-02-13T00:06:00.141585
93,0.057528,4211.01,2026-02-13T00:06:03.111107
94,0.057539,4240.24,2026-02-13T00:06:05.644291
95,0.057008,4188.73,2026-02-13T00:06:08.277319
96,0.057062,4172.79,2026-02-13T00:06:11.228275
97,0.056944,4268.05,2026-02-13T00:06:13.433760
98,0.057061,4162.22,2026-02-13T00:06:15.656940
99,0.056530,4159.89,2026-02-13T00:06:18.565010
100,0.056493,3992.54,2026-02-13T00:06:20.500831
101,0.056379,3249.73,2026-02-13T00:06:22.423432
102,0.056199,4229.61,2026-02-13T00:06:24.136788
103,0.055715,4090.29,2026-02-13T00:06:26.690118
104,0.056113,4249.00,2026-02-13T00:06:29.173622
105,0.056322,4109.21,2026-02-13T00:06:31.872178
106,0.055340,3391.69,2026-02-13T00:06:34.814312
107,0.055202,4343.24,2026-02-13T00:06:37.676757
108,0.054808,4000.43,2026-02-13T00:06:40.786876
109,0.054934,4134.74,2026-02-13T00:06:44.067370
110,0.055158,4151.56,2026-02-13T00:06:47.552224
111,0.054627,4263.56,2026-02-13T00:06:50.663771
112,0.054478,4129.15,2026-02-13T00:06:53.195699
113,0.054822,4215.46,2026-02-13T00:06:55.936469
114,0.054342,4229.01,2026-02-13T00:06:58.351338
115,0.054004,4125.82,2026-02-13T00:07:00.141345
116,0.054556,4261.70,2026-02-13T00:07:02.229270
117,0.053770,4128.68,2026-02-13T00:07:04.325983
118,0.053524,4187.97,2026-02-13T00:07:06.634952
119,0.052993,4139.62,2026-02-13T00:07:08.911367
120,0.053401,4161.33,2026-02-13T00:07:11.069247
121,0.053037,4173.48,2026-02-13T00:07:13.663598
122,0.053405,3892.72,2026-02-13T00:07:16.563456
123,0.053040,4212.69,2026-02-13T00:07:18.571615
124,0.052719,4055.34,2026-02-13T00:07:20.939573
125,0.053813,4161.46,2026-02-13T00:07:23.321514
126,0.052585,4091.74,2026-02-13T00:07:25.669780
127,0.051948,4223.35,2026-02-13T00:07:28.232971
128,0.051938,4031.30,2026-02-13T00:07:29.952126
