episode,reward,timestamp
1,688.73,2026-02-08T02:37:05.686382
2,716.31,2026-02-08T02:37:05.686391
3,609.43,2026-02-08T02:37:05.686394
4,510.63,2026-02-08T02:37:05.686396
5,719.78,2026-02-08T02:37:05.686398
6,566.12,2026-02-08T02:37:05.686400
7,832.09,2026-02-08T02:37:05.686402
8,1126.21,2026-02-08T02:37:05.686404
9,1119.69,2026-02-08T02:37:05.686407
10,1119.93,2026-02-08T02:37:05.686409
average,800.89,2026-02-08T02:37:05.686412
std,226.40,2026-02-08T02:37:05.686414
