metric,value,timestamp
env_name,hopper-medium-replay-v0,2026-02-08T01:04:03.461205
exp_name,bc-hopper-medrep-run1,2026-02-08T01:04:03.461212
seed,42,2026-02-08T01:04:03.461215
n_epochs,1000,2026-02-08T01:04:03.461217
final_loss,0.082669,2026-02-08T01:04:03.461221
avg_reward,585.95,2026-02-08T01:04:03.461224
std_reward,98.45,2026-02-08T01:04:03.461226
n_episodes,10,2026-02-08T01:04:03.461228
