metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-13T01:15:01.339178
exp_name,bc-halfcheetah-medexp-25k-run1,2026-02-13T01:15:01.339184
seed,42,2026-02-13T01:15:01.339187
n_epochs,1000,2026-02-13T01:15:01.339189
data_ratio,1.0,2026-02-13T01:15:01.339192
n_transitions,25000,2026-02-13T01:15:01.339195
final_loss,0.029239,2026-02-13T01:15:01.339198
avg_reward,4079.10,2026-02-13T01:15:01.339201
std_reward,604.05,2026-02-13T01:15:01.339204
n_episodes,10,2026-02-13T01:15:01.339206
