metric,value,timestamp
env_name,halfcheetah-medium-v0,2026-04-15T00:41:13.262978
exp_name,bc-halfcheetah-medium-seed333,2026-04-15T00:41:13.262986
seed,333,2026-04-15T00:41:13.262989
n_epochs,1000,2026-04-15T00:41:13.262992
data_ratio,1.0,2026-04-15T00:41:13.262994
n_transitions,1000000,2026-04-15T00:41:13.262998
final_loss,0.023336,2026-04-15T00:41:13.263002
avg_reward,4254.34,2026-04-15T00:41:13.263006
std_reward,109.93,2026-04-15T00:41:13.263009
n_episodes,10,2026-04-15T00:41:13.263011
