episode,reward,timestamp
1,3609.43,2026-02-10T13:42:33.638762
2,3465.83,2026-02-10T13:42:33.638769
3,3569.92,2026-02-10T13:42:33.638772
4,3558.32,2026-02-10T13:42:33.638774
5,803.77,2026-02-10T13:42:33.638776
6,3479.39,2026-02-10T13:42:33.638778
7,731.19,2026-02-10T13:42:33.638780
8,3565.17,2026-02-10T13:42:33.638782
9,3622.93,2026-02-10T13:42:33.638784
10,3613.48,2026-02-10T13:42:33.638787
average,3001.94,2026-02-10T13:42:33.638789
std,1118.46,2026-02-10T13:42:33.638792
