metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-12T23:01:47.393258
exp_name,bc-hopper-medexp-50k-run2,2026-02-12T23:01:47.393264
seed,43,2026-02-12T23:01:47.393267
n_epochs,1000,2026-02-12T23:01:47.393269
data_ratio,1.0,2026-02-12T23:01:47.393271
n_transitions,50000,2026-02-12T23:01:47.393274
final_loss,0.066306,2026-02-12T23:01:47.393278
avg_reward,2799.17,2026-02-12T23:01:47.393282
std_reward,1260.54,2026-02-12T23:01:47.393284
n_episodes,10,2026-02-12T23:01:47.393286
