metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-04-15T13:24:14.795381
exp_name,bc-halfcheetah-medexp-seed333,2026-04-15T13:24:14.795393
seed,333,2026-04-15T13:24:14.795396
n_epochs,1000,2026-04-15T13:24:14.795398
data_ratio,1.0,2026-04-15T13:24:14.795400
n_transitions,2000000,2026-04-15T13:24:14.795405
final_loss,0.038760,2026-04-15T13:24:14.795411
avg_reward,10219.23,2026-04-15T13:24:14.795415
std_reward,3877.21,2026-04-15T13:24:14.795418
n_episodes,10,2026-04-15T13:24:14.795420
